# Tests d'attentes sur macbookpro DATE: 2016-02-10 HEURE: 20:16:04
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 1 threads.
  #_CHRONO_#   soit 10000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
1 303  #_CHRONO_#  303 ms.  pour 1  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 2 threads.
  #_CHRONO_#   soit 5000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
2 1107  #_CHRONO_#  1107 ms.  pour 2  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999999 actions avec 3 threads.
  #_CHRONO_#   soit 3333333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
3 537  #_CHRONO_#  537 ms.  pour 3  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 4 threads.
  #_CHRONO_#   soit 2500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
4 533  #_CHRONO_#  533 ms.  pour 4  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 5 threads.
  #_CHRONO_#   soit 2000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
5 532  #_CHRONO_#  532 ms.  pour 5  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999996 actions avec 6 threads.
  #_CHRONO_#   soit 1666666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
6 520  #_CHRONO_#  520 ms.  pour 6  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999997 actions avec 7 threads.
  #_CHRONO_#   soit 1428571 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
7 530  #_CHRONO_#  530 ms.  pour 7  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 8 threads.
  #_CHRONO_#   soit 1250000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
8 523  #_CHRONO_#  523 ms.  pour 8  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999999 actions avec 9 threads.
  #_CHRONO_#   soit 1111111 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
9 511  #_CHRONO_#  511 ms.  pour 9  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 10 threads.
  #_CHRONO_#   soit 1000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
10 511  #_CHRONO_#  511 ms.  pour 10  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 11 threads.
  #_CHRONO_#   soit 909090 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
11 529  #_CHRONO_#  529 ms.  pour 11  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999996 actions avec 12 threads.
  #_CHRONO_#   soit 833333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
12 512  #_CHRONO_#  512 ms.  pour 12  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 13 threads.
  #_CHRONO_#   soit 769230 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
13 508  #_CHRONO_#  508 ms.  pour 13  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 14 threads.
  #_CHRONO_#   soit 714285 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
14 533  #_CHRONO_#  533 ms.  pour 14  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 15 threads.
  #_CHRONO_#   soit 666666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
15 588  #_CHRONO_#  588 ms.  pour 15  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 16 threads.
  #_CHRONO_#   soit 625000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
16 506  #_CHRONO_#  506 ms.  pour 16  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999995 actions avec 17 threads.
  #_CHRONO_#   soit 588235 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
17 527  #_CHRONO_#  527 ms.  pour 17  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 18 threads.
  #_CHRONO_#   soit 555555 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
18 556  #_CHRONO_#  556 ms.  pour 18  threads
  #_CHRONO_#   Date du test : 10/02/16 20:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999985 actions avec 19 threads.
  #_CHRONO_#   soit 526315 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
19 552  #_CHRONO_#  552 ms.  pour 19  threads
  #_CHRONO_#   Date du test : 10/02/16 20:17 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 20 threads.
  #_CHRONO_#   soit 500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  #_CHRONO_#   Taille du tableau: 10
20 520  #_CHRONO_#  520 ms.  pour 20  threads
